material_id,composition,nsites,crystal_system,space_group,volume,density,density_atomic,efermi,energy_per_atom,formation_energy_per_atom,is_gap_direct,band_gap,is_oxide
mp-756006,Li2Sb2S2,6,5,1,144.37090125257367,3.698227568919558,24.061816875428946,4.31440605,-4.345199538333333,-0.953104980277776,0.0,0.385899999999999,0.0
mp-1079885,Li2Sb2S4,8,4,15,169.30242856169352,3.782620384974135,21.16280357021169,4.96239156,-4.499614043750002,-0.920953233333334,0.0,0.091099999999999,0.0
mp-1001786,Li1Sc1S2,4,6,166,71.36198036372909,2.699858092095306,17.840495090932272,3.73710391,-6.1498234725,-2.020295695833332,0.0,1.4856999999999991,0.0
mp-1198027,Li8Si16B8,32,1,137,409.7964532056764,2.396351231642557,12.806139162677386,7.41429677,-5.0029624165625,-0.1432247421875,0.0,1.166799999999999,0.0
mp-973391,Li4Si4B24,32,3,64,281.67713989551106,2.35553937776949,8.80241062173472,5.18357231,-6.12850450375,-0.202180563541666,0.0,1.7307,0.0
mp-1197059,Li4Sn4H24N12,44,4,14,620.3147279508877,1.86013158400048,14.09806199888381,2.47530309,-5.09625726,-0.432227570075757,0.0,2.881,0.0
mp-1029294,Li2Sn4N6,12,3,36,174.33071378390855,5.455688147704655,14.52755948199238,5.02449021,-6.020639900833333,-0.196823265555555,1.0,0.8538999999999991,0.0
mp-773582,Li2Te2H24N8,36,5,2,389.5540763254325,1.72777019751345,10.820946564595348,0.45148709,-4.905563410833333,-0.5084891327777771,0.0,1.3014,0.0
mp-27466,Li12Te36,48,0,229,1435.5474755014086,5.409895533797263,29.90723907294601,4.72600986,-3.5317176554166663,-0.697007518749999,0.0,0.2237,0.0
mp-18640,Li2Ti4P6O24,36,6,167,452.4846148490083,2.8447677466583263,12.56901707913912,1.08185921,-8.202744660277778,-3.018196908273809,1.0,2.4425,1.0
mp-1029424,Li2Ti4N6,12,3,63,133.92080045595733,3.5882680730333902,11.16006670466311,3.52896278,-8.64994024916666,-1.5308168933333262,1.0,1.786099999999999,0.0
mp-756275,Li4Ti4Cr4O16,28,3,74,300.0235128547751,3.781342239386144,10.715125459099111,2.4253472,-8.493460436071429,-2.88641666845238,0.0,1.751399999999999,1.0
mp-772042,Li4Ti4V4O16,28,3,74,305.8032503808621,3.6869678872412273,10.92154465645936,3.39841199,-8.463699400714287,-2.937961547380953,0.0,0.762,1.0
mp-762019,Li1V1C2O6,10,6,148,97.10719112597572,3.042106302164876,9.710719112597571,3.78214723,-8.055318853,-2.141526257833334,0.0,2.0581,1.0
mp-1539853,Li2V2O4F4,12,4,11,130.6139873779603,3.251513803426885,10.88449894816336,-0.81876443,-6.836725545000006,-2.717316262222228,0.0,2.2316000000000003,1.0
mp-26955,Li4V4P16O48,72,3,60,1016.7100087976556,2.441837925937837,14.120972344411886,1.18152416,-7.784760638888888,-2.671968688994708,0.0,2.1576,1.0
mp-765346,Li8V8Si16O48,80,3,61,861.082527033572,3.2405355253185792,10.76353158791965,3.58051177,-8.127568372375,-2.974445269708334,0.0,2.1872,1.0
mp-1101601,Li4V8P12O48,72,4,13,885.9151262178558,2.952054680915471,12.304376753025776,1.2836494,-7.971580075000001,-2.6549863170701062,1.0,1.3092,1.0
mp-25812,Li2V4P10O32,48,4,7,653.3173070200177,2.641761555031484,13.610777229583702,3.03895214,-7.947295496458333,-2.683900550064484,0.0,0.032999999999999,1.0
mp-867665,Li2V6O4F12,24,4,14,274.39934526181054,3.70057483588008,11.43330605257544,1.78812715,-7.263363621250001,-3.051723843194445,0.0,1.4936,1.0
mp-559938,Li2V6Te4O24,36,5,2,453.1699574322205,4.44812350164615,12.588054373117236,2.00617359,-7.334756831111112,-2.066824335370372,0.0,1.924799999999999,1.0
mp-1280709,Li2V6Zn4O16,28,4,12,301.67240839965285,4.608086549803546,10.774014585701888,2.7368962,-7.4102690450000015,-2.31999644952381,0.0,1.377499999999999,1.0
mp-754895,Li2V2F8,12,4,14,128.70114757416502,3.45461590015493,10.725095631180418,-0.078899,-6.342902657500001,-3.234862918055556,0.0,2.455699999999999,0.0
