material_id,composition,nsites,crystal_system,space_group,volume,density,density_atomic,efermi,energy_per_atom,formation_energy_per_atom,is_gap_direct,band_gap
mp-1216943,Ti2 Nb2 P6 O24,34,Trigonal,161,488.3853413335765,2.8947251591327063,14.364274745105192,-0.06113991,-8.471452521470589,-2.964467245427171,False,2.7411000000000003
mp-29699,Ti2 Nb6 O12,20,Trigonal,148,266.3836037693696,5.268453512931599,13.31918018846848,3.753523,-9.692260502500002,-2.903543185833335,False,0.520799999999999
mp-1216944,Ti1 Nb6 Tl2 O18,27,Monoclinic,5,425.09875048078055,5.086167127035912,15.744398165954836,3.19760154,-8.901308366666667,-2.889843011851853,True,2.5982000000000003
mp-1216909,Ti4 Nb4 Tl4 O20,32,Orthorhombic,62,481.187449890684,5.86868419040555,15.037107809083874,4.2642507,-8.5022528646875,-2.863743589895834,True,2.4489
mp-1216682,Ti1 Ni4 Ge1 O8,14,Cubic,216,146.37989859974792,5.482298823260356,10.455707042839137,4.14042932,-7.313802467142857,-1.940748564880951,True,2.4005
mp-924130,Ti1 Ni1 Sn1,3,Cubic,216,51.52463255869068,7.260028479048589,17.174877519563562,7.66299415,-6.424489200000001,-0.529422349444445,False,0.45270000000000005
mp-390,Ti2 O4,6,Tetragonal,141,68.78397225482972,3.856139057916947,11.463995375804954,1.9577428700000001,-9.438526794166666,-3.5080554519444442,False,2.0586
mp-1203568,Ti4 P8 S32 Cl8,52,Monoclinic,14,1508.7721920901095,1.924889590115913,29.01484984788672,0.41409843,-5.229656517307692,-0.9580871936630011,False,1.8109000000000002
mp-557289,Ti4 P8 Cl32 O12,56,Monoclinic,14,1372.7425766033552,2.135937030372225,24.513260296488486,-1.1829977,-5.394423262142859,-1.94023294197279,False,2.7291
mp-707483,Ti4 P8 H16 O36,64,Monoclinic,14,645.6311589273591,2.652628237831694,10.087986858239987,0.00479553,-7.133555729531251,-2.331133612819942,False,2.9959000000000002
mp-761010,Ti4 P8 O28,40,Monoclinic,14,532.326265020756,2.7676613579293683,13.3081566255189,0.35334009,-8.297348034749984,-2.961131424511889,True,2.6682
mp-1191155,Ti2 P4 Pb2 O16,24,Monoclinic,15,330.10125281529037,4.4771476958457335,13.754218867303765,1.98270846,-7.977073930833332,-2.808509416051586,False,2.5872
mp-1044343,Ti2 P6 W2 O24,34,Trigonal,161,479.9498552255633,3.574829689360539,14.116172212516567,0.74300928,-8.43955851735294,-2.764524700721287,False,2.234
mp-559493,Ti8 P8 Cl56 O8,80,Orthorhombic,61,2417.554077896839,1.884825460537777,30.219425973710486,-1.47293505,-4.9578642058749995,-1.837991591172619,False,2.602
mp-27664,Ti2 P2 Cl18,22,Triclinic,2,582.6535105366414,2.268099229287961,26.484250478938247,0.04086016,-4.270316570454546,-1.547784684816017,False,2.1747
mp-554704,Ti4 P4 H4 O20,32,Monoclinic,4,358.14652580491895,2.964485356406115,11.192078931403717,1.09084477,-7.9432124315625,-2.762470305840774,False,2.85
mp-989624,Ti4 P4 N12,20,Monoclinic,15,196.48484372342958,4.085692904770749,9.824242186171478,6.60357758,-10.9222667405,-1.057049672678572,False,0.5396000000000001
mp-1541018,Ti2 P2 O8 F2,14,Monoclinic,15,176.37702899221495,3.047293318889422,12.598359213729639,3.10497933,-8.169380259285715,-3.166999982568028,False,2.4692
mp-1203799,Ti4 Pb4 S24 O84,116,Monoclinic,14,1721.4148206393695,3.022955343734755,14.839782936546289,-0.35562728,-6.765747504655173,-1.9262482771839071,True,2.7366
mp-20459,Ti1 Pb1 O3,5,Tetragonal,99,64.50656431866487,7.801556471692714,12.901312863732974,4.8839500000000005,-8.020994205999997,-2.7305897856666643,False,1.812999999999999
mp-9920,Ti2 S6,8,Monoclinic,11,153.2064428549375,3.12285272805444,19.15080535686719,4.34122707,-6.41866354375,-1.341020863958332,False,0.22610000000000002
mp-505270,Ti4 S4 O20,28,Monoclinic,15,333.9744584548558,3.180702543672739,11.927659230530564,0.8703580200000001,-7.798244549821428,-2.54486503422619,False,2.574599999999999
mp-1043703,Ti2 Sb2 P6 O24,34,Trigonal,161,470.51947961034506,3.208297481340644,13.838808223833679,0.88066347,-7.834115391470588,-2.678442103662465,True,2.2085
mp-505113,Ti2 Sn12 F32,46,Monoclinic,15,754.0604243456492,4.686579413252424,16.39261792055759,1.26845577,-5.5559405489130445,-2.83530745557971,False,2.7165
mp-961682,Ti1 Sn1 Pd1,3,Cubic,216,58.88011017655135,7.6990715914987025,19.62670339218378,6.5459238,-20.84722178,-0.6324236455555551,False,0.20389999999999903
mp-30847,Ti1 Sn1 Pt1,3,Cubic,216,59.3706572910037,10.115303531541375,19.790219097001234,6.9618401500000004,-30.66249822,-0.938612322222217,False,0.7908000000000001
mp-1216939,Ti8 Te8 O24 F16,56,Monoclinic,14,838.4090628655888,4.142778462578939,14.971590408314086,3.79221921,-6.995415072857143,-2.751074262142857,False,2.7386
